api_name;req_id;source;return_code_notes;errno_symbols;param_validation_expected;state_error_expected;success_expected;notes
mpx_pthread_attr_getcontroladdr;REQ-API-0100;User Manual;MPX_SUCCESS (0) Successful retrieval of the thread control | address. | EINVAL Attributes structure pointer or thread control address destination pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_condattr_getcontrolsize;REQ-API-0101;User Manual;MPX_SUCCESS (0) Successful retrieval of internal condition variable | control structure size. | EINVAL Invalid condition variable attributes or invalid destination for condition variable control structure size. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_event_flags_clear;REQ-API-0102;User Manual;MPX_SUCCESS (0) Successful event flags clear. | EINVAL Invalid event flags handle pointer or any/all events option. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption is possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (32 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_fastqueue_create;REQ-API-0103;User Manual;MPX_SUCCESS (0) Successful fastqueue creation. | EINVAL Invalid fastqueue handle pointer or attributes. | EBUSY Fastqueue is already created. | ENOMEM Insufficient memory to create fastqueue. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (160 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From:;EBUSY,EINVAL,ENOMEM;"On invalid parameters: return indicates failure; errno in {EBUSY, EINVAL, ENOMEM}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_fastqueueattr_getname;REQ-API-0104;User Manual;MPX_SUCCESS (0) Successful fastqueue attributes fastqueue name | retrieval. | EINVAL Invalid fastqueue attributes or fastqueue name pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_memory_manager_enable;REQ-API-0105;User Manual;MPX_SUCCESS (0) Successful enablement of internal MPX RTOS | memory management. | EINVAL Invalid (NULL) pointer supplied to the | mpx_pthread_start API. | ENOME Not enough memory remaining. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. This service does not result in preemption. | Stack Usage Estimate: | From the location where this API is called, there should be at least (242 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context.;EINVAL,ENOME;"On invalid parameters: return indicates failure; errno in {EINVAL, ENOME}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_memorypool_free;REQ-API-0106;User Manual;MPX_SUCCESS (0) Successful memory release. | EINVAL Invalid memory pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption occurs if no other threads are waiting for memory from the associated memory pool. | PREEMPTION. If a higher-priority thread is waiting for this amount of memory, it is resumed, and preemption will occur. | Stack Usage Estimate: | From the location where this API is called, at least (232 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_memorypoolattr_setname;REQ-API-0107;User Manual;MPX_SUCCESS (0) Successful memory pool attributes name set. | EINVAL Invalid memory pool attributes. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_mutexattr_getcontrolsize;REQ-API-0108;User Manual;MPX_SUCCESS (0) Successful retrieval of internal mutex control structure size. | EINVAL Invalid mutex attributes or mutex control structure size destination pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_partitionpool_allocate;REQ-API-0109;User Manual;MPX_SUCCESS (0) Successful memory partition allocation. | EINVAL Invalid partition memory pool handle pointer, allocated memory destination pointer, or requested size. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. If the requested partition memory is available, no preemption takes place. | SUSPENSION. If the requested partition memory is unavailable, the calling thread is suspended until a memory partition becomes available. | Stack Usage Estimate: | From the location where this API is called, at least (100 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_partitionpool_free;REQ-API-0110;User Manual;MPX_SUCCESS (0) Successful memory partition release. | EINVAL Invalid memory partition pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption occurs if no other threads are waiting for partition memory from the associated partition memory pool. | PREEMPTION. If a higher-priority thread is waiting for a memory partition, it is resumed, and preemption will occur. | Stack Usage Estimate: | From the location where this API is called, at least (112 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_resume;REQ-API-0111;User Manual;MPX_SUCCESS (0) Successful thread resumption. | ESRCH Thread handle is not valid. | EINVAL Specified thread is not suspended. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption if the thread resumed is not a higher priority. | PREEMPTION. If a higher-priority thread is resumed, preemption will occur. | Stack Usage Estimate: | From the location where this API is called, at least (80 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From:;EINVAL,ESRCH;"On invalid parameters: return indicates failure; errno in {EINVAL, ESRCH}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_suspend;REQ-API-0112;User Manual;MPX_SUCCESS (0) Successful thread suspension. | ESRCH Thread handle is not valid. | EINVAL Specified thread is already suspended. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. If the thread suspended is not the executing thread, there is no preemption. | SUSPENSION. If the currently executing thread calls this service, it is suspended until another thread calls mpx_pthread_resume. | Stack Usage Estimate: | From the location where this API is called, at least (60 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From:;EINVAL,ESRCH;"On invalid parameters: return indicates failure; errno in {EINVAL, ESRCH}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_tick_sleep;REQ-API-0113;User Manual;MPX_SUCCESS (0) Successful thread tick sleep. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. If the number of ticks to sleep is zero, no preemption occurs. | SUSPENSION. If the number of ticks to sleep is non-zero, the calling thread is suspended for that amount of ticks. | PREEMPTION. After the number of ticks has expired, the calling thread is resumed and will preempt the currently running thread if it is a higher priority. | Stack Usage Estimate: | From the location where this API is called, at least (60 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;;"On invalid parameters: return indicates failure; errno is set (exact mapping TBD).";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_ticks_get;REQ-API-0114;User Manual;current tick count | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption takes place as a result of this service. | Stack Usage Estimate: | From the location where this API is called, at least (8 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also: | mpx_pthread_ticks_set;;"On invalid parameters: return indicates failure; errno is set (exact mapping TBD).";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_ticktimer_destroy;REQ-API-0115;User Manual;MPX_SUCCESS (0) Successful ticktimer destroy. | EINVAL Invalid ticktimer handle. | EBUSY Ticktimer is not stopped, i.e., it is still active. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (56 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EBUSY,EINVAL;"On invalid parameters: return indicates failure; errno in {EBUSY, EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_ticktimer_start;REQ-API-0116;User Manual;MPX_SUCCESS (0) Successful ticktimer start. | EINVAL Invalid ticktimer handle. | EBUSY Ticktimer was already started. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (48 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EBUSY,EINVAL;"On invalid parameters: return indicates failure; errno in {EBUSY, EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_ticktimer_stop;REQ-API-0117;User Manual;MPX_SUCCESS (0) Successful ticktimer stop. | EINVAL Invalid ticktimer handle, or the ticktimer was already stopped. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (48 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
mpx_pthread_ticktimer_update;REQ-API-0118;User Manual;MPX_SUCCESS (0) Successful ticktimer update. | EINVAL Invalid ticktimer handle pointer or new initial ticks value. | EBUSY Ticktimer is running. It must be stopped to use this service. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack should be available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EBUSY,EINVAL;"On invalid parameters: return indicates failure; errno in {EBUSY, EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_getdetachstate;REQ-API-0132;User Manual;MPX_SUCCESS (0) Successful retrieval of the attributes detach | state. | EINVAL Attributes structure pointer or detach state destination pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_getstackaddr;REQ-API-0133;User Manual;MPX_SUCCESS (0) Successful retrieval of the stack address. | EINVAL Attributes structure pointer or stack address destination pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_getstacksize;REQ-API-0134;User Manual;MPX_SUCCESS (0) Successful retrieval of the stack size. | EINVAL Attributes structure pointer or stack size destination pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_init;REQ-API-0135;User Manual;MPX_SUCCESS (0) Successful attribute structure initialization. | EINVAL Attributes structure pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (32 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_setdetachstate;REQ-API-0136;User Manual;MPX_SUCCESS (0) Successful detach state set. | EINVAL Attributes structure pointer or detach state specification. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_setstackaddr;REQ-API-0137;User Manual;MPX_SUCCESS (0) Successful setting of the stack address. | EINVAL Attributes structure pointer or stack address pointer is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_attr_setstacksize;REQ-API-0138;User Manual;MPX_SUCCESS (0) Successful setting of the stack size. | EINVAL Attributes structure pointer or stack size is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (40 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_cancel;REQ-API-0139;User Manual;MPX_SUCCESS (0) Successful thread cancellation. | ESRCH Specified thread handle is invalid. | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption takes place as a result of this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (112 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;ESRCH;"On invalid parameters: return indicates failure; errno in {ESRCH}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_cleanup_pop;REQ-API-0140;User Manual;none | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption takes place as a result of this service. | Stack Usage Estimate: | context. | From the location where this API is called, there should be at least (48 + MPX_BINDING_STACK_FRAME_SIZE + cleanup handler stack usage) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also:;;"On invalid parameters: return indicates failure; errno is set (exact mapping TBD).";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_cleanup_push;REQ-API-0141;User Manual;none | Real-time Scenarios: | Upon the successful execution of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption takes place as a result of this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (8 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler. | See Also: | pthread_cancel, pthread_cleanup_pop, pthread_create, pthread_setcancelstate, pthread_setcanceltype, pthread_testcancel;;"On invalid parameters: return indicates failure; errno is set (exact mapping TBD).";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_cond_broadcast;REQ-API-0142;User Manual;MPX_SUCCESS (0) Successful condition variable broadcast. | EINVAL Invalid condition variable handle pointer. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. No preemption occurs if no other threads are waiting for the condition variable. | PREEMPTION. If a higher-priority thread was waiting on the condition variable, when it is resumed, preemption will occur. | Stack Usage Estimate: | From the location where this API is called, there should be at least (96 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EINVAL;"On invalid parameters: return indicates failure; errno in {EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
pthread_cond_destroy;REQ-API-0143;User Manual;MPX_SUCCESS (0) Successful condition variable destroy. | EINVAL Invalid condition variable handle. | EBUSY Another thread is currently using the condition variable. | Real-time Scenarios: | Upon the successful completion of this service, the following real-time scenarios are possible: | NO PREEMPTION. There is no preemption possible with this service. | Stack Usage Estimate: | From the location where this API is called, there should be at least (56 + MPX_BINDING_STACK_FRAME_SIZE) bytes of stack available. This estimate is based on a typical 32-bit architecture. Stack usage should be verified in the application context. | Callable From: | This service is callable only from the thread context, i.e., it may not be called from an interrupt handler.;EBUSY,EINVAL;"On invalid parameters: return indicates failure; errno in {EBUSY, EINVAL}.";"On invalid lifecycle/state: return indicates failure; errno set per User Manual (TBD).";"On success: return indicates success; errno unchanged/expected (TBD).";Fill when hardening
